# bake_hash=38a897b6
centerX,centerZ,baseY,topY,halfX,halfZ,yawDeg,profileName
-61.2618,-44.8524,11.9105,15.7673,0.1465,0.0821,306.0000,railing
-63.3000,-46.3332,11.9892,15.8460,0.1465,0.0821,306.0000,railing
-65.3967,-47.8565,12.0702,15.9270,0.1465,0.0821,306.0000,railing
-67.4750,-49.3665,12.1505,16.0073,0.1465,0.0821,306.0000,railing
-69.5456,-50.8709,12.2305,16.0873,0.1465,0.0821,306.0000,railing
-71.6455,-52.3966,12.3116,16.1684,0.1465,0.0821,306.0000,railing
-73.7395,-53.9180,12.3925,16.2493,0.1465,0.0821,306.0000,railing
-75.8042,-55.4181,12.4723,16.3290,0.1465,0.0821,306.0000,railing
-77.9009,-56.9414,12.5532,16.4100,0.1465,0.0821,306.0000,railing
-79.9976,-58.4647,12.6342,16.4910,0.1465,0.0821,306.0000,railing
-82.0834,-59.9802,12.7148,16.5716,0.1465,0.0821,306.0000,railing
-84.1530,-61.4838,12.7948,16.6516,0.1465,0.0821,306.0000,railing
-72.6947,-46.6533,15.4201,16.8162,0.1749,17.9553,306.0000,railing
-73.1167,-46.9316,11.4859,13.2292,0.2000,21.5017,306.0000,pier
-57.3094,-35.4685,11.7377,15.6332,0.1465,1.2236,306.0000,railing
-61.3581,-38.4101,11.8941,15.7896,0.1465,1.2236,306.0000,railing
-65.4236,-41.3638,12.0511,15.9466,0.1465,1.2236,306.0000,railing
-69.5866,-44.3884,12.2119,16.1075,0.1465,1.2236,306.0000,railing
-73.7713,-47.4128,12.3733,16.2688,0.1465,1.2236,306.0000,railing
-77.9175,-50.4412,12.5337,16.4293,0.1465,1.2236,306.0000,railing
-82.0805,-53.4658,12.6945,16.5901,0.1465,1.2236,306.0000,railing
-86.2652,-56.4901,12.8559,16.7514,0.1465,1.2236,306.0000,railing
-59.3161,-36.9265,11.8391,15.5840,0.1465,1.3360,306.0000,railing
-63.3648,-39.8680,11.9955,15.7404,0.1465,1.3360,306.0000,railing
-67.4303,-42.8218,12.1526,15.8974,0.1465,1.3360,306.0000,railing
-71.5933,-45.8464,12.3134,16.0583,0.1465,1.3360,306.0000,railing
-75.7780,-48.8707,12.4747,16.2196,0.1465,1.3360,306.0000,railing
-88.2720,-57.9481,12.9574,16.7022,0.1465,1.3360,306.0000,railing
-84.0872,-54.9238,12.7960,16.5409,0.1465,1.3360,306.0000,railing
-79.9242,-51.8992,12.6352,16.3801,0.1465,1.3360,306.0000,railing
-58.3076,-36.1594,11.6761,15.5329,0.1465,0.0821,306.0000,railing
-60.3230,-37.6237,11.7540,15.6108,0.1465,0.0821,306.0000,railing
-62.3444,-39.0923,11.8321,15.6889,0.1465,0.0821,306.0000,railing
-64.3749,-40.5676,11.9105,15.7673,0.1465,0.0821,306.0000,railing
-66.4131,-42.0484,11.9892,15.8460,0.1465,0.0821,306.0000,railing
-68.5098,-43.5718,12.0702,15.9270,0.1465,0.0821,306.0000,railing
-70.5880,-45.0817,12.1505,16.0073,0.1465,0.0821,306.0000,railing
-72.6587,-46.5861,12.2305,16.0873,0.1465,0.0821,306.0000,railing
-74.7586,-48.1118,12.3116,16.1684,0.1465,0.0821,306.0000,railing
-76.8526,-49.6332,12.3925,16.2493,0.1465,0.0821,306.0000,railing
-78.9173,-51.1333,12.4723,16.3290,0.1465,0.0821,306.0000,railing
-81.0140,-52.6566,12.5532,16.4100,0.1465,0.0821,306.0000,railing
-83.1107,-54.1799,12.6342,16.4910,0.1465,0.0821,306.0000,railing
-85.1965,-55.6954,12.7148,16.5716,0.1465,0.0821,306.0000,railing
-87.2661,-57.1990,12.7948,16.6516,0.1465,0.0821,306.0000,railing
-69.9048,-50.7411,12.5499,15.0377,0.0546,20.3878,306.0000,railing
-53.3615,-38.8762,11.6550,13.3978,0.1796,0.0540,306.0000,railing
-86.3100,-62.8146,12.9278,14.6705,0.1796,0.0540,306.0000,railing
-69.8934,-50.7472,12.5497,14.9974,0.0003,20.3669,306.0000,railing
-72.6022,-46.9822,12.5223,15.0370,0.0558,20.3961,306.0000,railing
-89.1790,-58.8730,12.9283,14.6755,0.1796,0.0428,306.0000,railing
-56.2165,-34.9244,11.6550,13.4022,0.1796,0.0428,306.0000,railing
-72.6297,-46.9810,12.5497,14.9974,0.0003,20.3669,306.0000,railing
-72.5708,-47.1012,11.4740,13.6939,0.2064,20.4047,306.0000,railing
-69.9798,-50.6673,11.4740,13.6939,0.2064,20.4047,306.0000,railing
-71.2654,-48.8816,11.5676,12.8423,3.0856,17.9479,306.0000,pier
