wk_2026_49	GET TeePit P.Wedges & S.Wedges	TeePit Pウェッジ＆Sウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_50	GET FairX S.Wedges & Putters	FairX Sウェッジ＆パターが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_51	GET GREEN SWING Putters & Drivers	GREEN SWING パター＆ドライバーが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_52	GET TIFTO Drivers & Woods	TIFTO ドライバー＆ウッドが登場	HOLIDAY WEEK\n*DOUBLE* LEGENDARY!	ホリデーウィーク\n*レジェンダリー*2本立て！
wk_2026_53	GET FOREFIT Woods & Irons	FOREFIT ウッド＆アイアンが登場	END THE YEAR ON\n*DOUBLE* LEGENDARY!	年末を飾る\n*レジェンダリー*2本立て！
wk_2027_01	GET KLYRO Irons & A.Wedges	KLYRO アイアン＆Aウェッジが登場	NEW YEAR HATSUURI\n*DOUBLE* LEGENDARY!	新春初売り\n*レジェンダリー*2本立て！
wk_2027_02	GET VBOOOT A.Wedges & P.Wedges	VBOOOT Aウェッジ＆Pウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_03	GET FYLOE P.Wedges & S.Wedges	FYLOE Pウェッジ＆Sウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_04	GET MireO S.Wedges & Putters	MireO Sウェッジ＆パターが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_05	GET BogeyB Putters & Drivers	BogeyB パター＆ドライバーが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_06	GET Drivers & Woods	ドライバー＆ウッドが登場	VALENTINE WEEK\n*DOUBLE* LEGENDARY!	バレンタイン\n*レジェンダリー*2本立て！
wk_2027_07	GET PAR PERFECT Woods & Irons	PAR PERFECT ウッド＆アイアンが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_08	GET EAGLEZ Irons & A.Wedges	EAGLEZ アイアン＆Aウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_09	GET GOLFIN A.Wedges & P.Wedges	GOLFIN Aウェッジ＆Pウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_10	GET PUTT ACE P.Wedges & S.Wedges	PUTT ACE Pウェッジ＆Sウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_11	GET FAIRLOFT S.Wedges & Putters	FAIRLOFT Sウェッジ＆パターが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_12	GET Putters & Drivers	パター＆ドライバーが登場	SAKURA WEEK\n*DOUBLE* LEGENDARY!	桜ウィーク\n*レジェンダリー*2本立て！
wk_2027_13	GET ROYAL SWING Drivers & Woods	ROYAL SWING ドライバー＆ウッドが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_14	GET Woods & Irons	ウッド＆アイアンが登場	SPRING MAJOR\n*DOUBLE* LEGENDARY!	春のメジャー\n*レジェンダリー*2本立て！
wk_2027_15	GET Irons & A.Wedges	アイアン＆Aウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_16	GET TeePit A.Wedges & P.Wedges	TeePit Aウェッジ＆Pウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_17	GET FairX P.Wedges & S.Wedges	FairX Pウェッジ＆Sウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_18	GET S.Wedges & Putters	Sウェッジ＆パターが登場	GOLDEN WEEK\n*DOUBLE* LEGENDARY!	ゴールデンウィーク\n*レジェンダリー*2本立て！
wk_2027_19	GET TIFTO Putters & Drivers	TIFTO パター＆ドライバーが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_20	GET FOREFIT Drivers & Woods	FOREFIT ドライバー＆ウッドが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_21	GET KLYRO Woods & Irons	KLYRO ウッド＆アイアンが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_22	GET Irons & A.Wedges	アイアン＆Aウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_23	GET FYLOE A.Wedges & P.Wedges	FYLOE Aウェッジ＆Pウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_24	GET MireO P.Wedges & S.Wedges	MireO Pウェッジ＆Sウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_25	GET BogeyB S.Wedges & Putters	BogeyB Sウェッジ＆パターが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_26	GET G&F Putters & Drivers	G&F パター＆ドライバーが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_27	GET PAR PERFECT Drivers & Woods	PAR PERFECT ドライバー＆ウッドが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_28	GET Woods & Irons	ウッド＆アイアンが登場	SUMMER LINKS\n*DOUBLE* LEGENDARY!	真夏のリンクス\n*レジェンダリー*2本立て！
wk_2027_29	GET GOLFIN Irons & A.Wedges	GOLFIN アイアン＆Aウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_30	GET PUTT ACE A.Wedges & P.Wedges	PUTT ACE Aウェッジ＆Pウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_31	GET FAIRLOFT P.Wedges & S.Wedges	FAIRLOFT Pウェッジ＆Sウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_32	GET S.Wedges & Putters	Sウェッジ＆パターが登場	OBON WEEK\n*DOUBLE* LEGENDARY!	お盆ウィーク\n*レジェンダリー*2本立て！
wk_2027_33	GET ROYAL SWING Putters & Drivers	ROYAL SWING パター＆ドライバーが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_34	GET Fairway THREADS Drivers & Woods	Fairway THREADS ドライバー＆ウッドが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_35	GET Woods & Irons	ウッド＆アイアンが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2027_36	GET Irons & A.Wedges	アイアン＆Aウェッジが登場	SEASON FINALE\n*DOUBLE* LEGENDARY!	シーズンファイナル\n*レジェンダリー*2本立て！
