rotationId,nameEn,taglineEn,taglineJa,hookEn,hookJa
wk_2026_53,YEAR-END WEEK,GET FOREFIT Woods & Irons,FOREFIT ウッド＆アイアンが登場,"END THE YEAR ON
*DOUBLE* LEGENDARY!","年末を飾る
*レジェンダリー*2本立て！"
wk_2027_01,NEW YEAR HATSUURI,GET KLYRO Irons & A.Wedges,KLYRO アイアン＆Aウェッジが登場,"NEW YEAR HATSUURI
*DOUBLE* LEGENDARY!","新春初売り
*レジェンダリー*2本立て！"
wk_2027_02,A.WEDGE WEEK · VBOOOT,GET VBOOOT A.Wedges & P.Wedges,VBOOOT Aウェッジ＆Pウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_03,P.WEDGE WEEK · FYLOE,GET FYLOE P.Wedges & S.Wedges,FYLOE Pウェッジ＆Sウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_04,S.WEDGE WEEK · MIREO,GET MireO S.Wedges & Putters,MireO Sウェッジ＆パターが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_05,PUTTER WEEK · BOGEYB,GET BogeyB Putters & Drivers,BogeyB パター＆ドライバーが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_06,VALENTINE WEEK,GET Drivers & Woods,ドライバー＆ウッドが登場,"VALENTINE WEEK
*DOUBLE* LEGENDARY!","バレンタイン
*レジェンダリー*2本立て！"
wk_2027_07,WOOD WEEK · PAR PERFECT,GET PAR PERFECT Woods & Irons,PAR PERFECT ウッド＆アイアンが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_08,IRON WEEK · EAGLEZ,GET EAGLEZ Irons & A.Wedges,EAGLEZ アイアン＆Aウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_09,A.WEDGE WEEK · GOLFIN,GET GOLFIN A.Wedges & P.Wedges,GOLFIN Aウェッジ＆Pウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_10,P.WEDGE WEEK · PUTT ACE,GET PUTT ACE P.Wedges & S.Wedges,PUTT ACE Pウェッジ＆Sウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_11,S.WEDGE WEEK · FAIRLOFT,GET FAIRLOFT S.Wedges & Putters,FAIRLOFT Sウェッジ＆パターが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_12,SAKURA WEEK,GET Putters & Drivers,パター＆ドライバーが登場,"SAKURA WEEK
*DOUBLE* LEGENDARY!","桜ウィーク
*レジェンダリー*2本立て！"
wk_2027_13,DRIVER WEEK · ROYAL SWING,GET ROYAL SWING Drivers & Woods,ROYAL SWING ドライバー＆ウッドが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_14,SPRING MAJOR WEEK,GET Woods & Irons,ウッド＆アイアンが登場,"SPRING MAJOR
*DOUBLE* LEGENDARY!","春のメジャー
*レジェンダリー*2本立て！"
wk_2027_15,IRON WEEK · GOLFINX,GET Irons & A.Wedges,アイアン＆Aウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_16,A.WEDGE WEEK · TEEPIT WNDRWLL,GET TeePit A.Wedges & P.Wedges,TeePit Aウェッジ＆Pウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_17,P.WEDGE WEEK · FAIRX,GET FairX P.Wedges & S.Wedges,FairX Pウェッジ＆Sウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_18,GOLDEN WEEK SPECIAL,GET S.Wedges & Putters,Sウェッジ＆パターが登場,"GOLDEN WEEK
*DOUBLE* LEGENDARY!","ゴールデンウィーク
*レジェンダリー*2本立て！"
wk_2027_19,PUTTER WEEK · TIFTO,GET TIFTO Putters & Drivers,TIFTO パター＆ドライバーが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_20,DRIVER WEEK · FOREFIT,GET FOREFIT Drivers & Woods,FOREFIT ドライバー＆ウッドが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_21,WOOD WEEK · KLYRO,GET KLYRO Woods & Irons,KLYRO ウッド＆アイアンが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_22,IRON WEEK · VBOOOT,GET Irons & A.Wedges,アイアン＆Aウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_23,A.WEDGE WEEK · FYLOE,GET FYLOE A.Wedges & P.Wedges,FYLOE Aウェッジ＆Pウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_24,P.WEDGE WEEK · MIREO,GET MireO P.Wedges & S.Wedges,MireO Pウェッジ＆Sウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_25,S.WEDGE WEEK · BOGEYB,GET BogeyB S.Wedges & Putters,BogeyB Sウェッジ＆パターが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_26,PUTTER WEEK · G&F,GET G&F Putters & Drivers,G&F パター＆ドライバーが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_27,DRIVER WEEK · PAR PERFECT,GET PAR PERFECT Drivers & Woods,PAR PERFECT ドライバー＆ウッドが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_28,SUMMER LINKS WEEK,GET Woods & Irons,ウッド＆アイアンが登場,"SUMMER LINKS
*DOUBLE* LEGENDARY!","真夏のリンクス
*レジェンダリー*2本立て！"
wk_2027_29,IRON WEEK · GOLFIN,GET GOLFIN Irons & A.Wedges,GOLFIN アイアン＆Aウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_30,A.WEDGE WEEK · PUTT ACE,GET PUTT ACE A.Wedges & P.Wedges,PUTT ACE Aウェッジ＆Pウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_31,P.WEDGE WEEK · FAIRLOFT,GET FAIRLOFT P.Wedges & S.Wedges,FAIRLOFT Pウェッジ＆Sウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_32,OBON WEEK,GET S.Wedges & Putters,Sウェッジ＆パターが登場,"OBON WEEK
*DOUBLE* LEGENDARY!","お盆ウィーク
*レジェンダリー*2本立て！"
wk_2027_33,PUTTER WEEK · ROYAL SWING,GET ROYAL SWING Putters & Drivers,ROYAL SWING パター＆ドライバーが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_34,DRIVER WEEK · FAIRWAY THREADS,GET Fairway THREADS Drivers & Woods,Fairway THREADS ドライバー＆ウッドが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_35,WOOD WEEK · GOLFINX,GET Woods & Irons,ウッド＆アイアンが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2027_36,SEASON FINALE,GET Irons & A.Wedges,アイアン＆Aウェッジが登場,"SEASON FINALE
*DOUBLE* LEGENDARY!","シーズンファイナル
*レジェンダリー*2本立て！"
