entryId,category,refId,rpCost,saleRpCost,sortOrder,popular,offer,rarity,startAt,endAt,saleStartAt,saleEndAt,quantity,is_active,rotationId,storeProductId
shop_wk_2026_39_club_iron_gf_common,club,club_iron_gf_common,100,,502,false,false,Common,2026-09-21T00:00:00Z,2026-09-28T00:00:00Z,,,,true,wk_2026_39,
shop_wk_2026_39_club_iron_gf_mythic,club,club_iron_gf_mythic,800,,200,false,false,Mythic,2026-09-21T00:00:00Z,2026-09-28T00:00:00Z,,,,true,wk_2026_39,
shop_wk_2026_39_club_putter_gf_uncommon,club,club_putter_gf_uncommon,200,,401,false,false,Uncommon,2026-09-21T00:00:00Z,2026-09-28T00:00:00Z,,,,true,wk_2026_39,
shop_wk_2026_39_club_pwedge_gf_rare,club,club_pwedge_gf_rare,400,,301,false,false,Rare,2026-09-21T00:00:00Z,2026-09-28T00:00:00Z,,,,true,wk_2026_39,
shop_wk_2026_39_club_swedge_gf_uncommon,club,club_swedge_gf_uncommon,200,,400,false,false,Uncommon,2026-09-21T00:00:00Z,2026-09-28T00:00:00Z,,,,true,wk_2026_39,
shop_wk_2026_39_club_wood_gf,club,club_wood_gf,100,,501,false,false,Common,2026-09-21T00:00:00Z,2026-09-28T00:00:00Z,,,,true,wk_2026_39,
shop_wk_2026_39_club_wood_gf_legendary,club,club_wood_gf_legendary,1500,,100,false,false,Legendary,2026-09-21T00:00:00Z,2026-09-28T00:00:00Z,,,,true,wk_2026_39,
shop_ticket_gold_10_iap,ticket,1,600,450,5,false,false,,,,,,10,true,,test.tickets.x10
shop_wk_2026_40_ball_klyro,ball,ball_klyro,120,,302,false,false,Rare,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_ball_par_perfect,ball,ball_par_perfect,30,,503,false,false,Common,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_ball_tifto,ball,ball_tifto,60,,402,false,false,Uncommon,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_char_roshana,character,char_roshana,3000,,101,false,false,Legendary,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_club_awedge_parperfect_common,club,club_awedge_parperfect_common,100,,502,false,false,Common,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_club_awedge_parperfect_mythic,club,club_awedge_parperfect_mythic,800,,200,false,false,Mythic,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_club_driver_parperfect_uncommon,club,club_driver_parperfect_uncommon,200,,401,false,false,Uncommon,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_club_iron_parperfect_common,club,club_iron_parperfect_common,100,,501,false,false,Common,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_club_iron_parperfect_legendary,club,club_iron_parperfect_legendary,1500,,100,false,false,Legendary,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_club_putter_parperfect_uncommon,club,club_putter_parperfect_uncommon,200,,400,false,false,Uncommon,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_club_pwedge_parperfect_rare,club,club_pwedge_parperfect_rare,400,,300,false,false,Rare,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_club_swedge_parperfect_rare,club,club_swedge_parperfect_rare,400,,301,false,false,Rare,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_40_club_wood_parperfect_common,club,club_wood_parperfect_common,100,,500,false,false,Common,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,,,,true,wk_2026_40,
shop_wk_2026_41_ball_cirq,ball,ball_cirq,250,,201,false,false,Mythic,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_ball_golfin_mk2,ball,ball_golfin_mk2,60,,402,false,false,Uncommon,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_ball_royal_swing,ball,ball_royal_swing,120,,302,false,false,Rare,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_char_elizabeth,character,char_elizabeth,800,,303,false,false,Rare,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_club_awedge_eaglez_common,club,club_awedge_eaglez_common,100,,501,false,false,Common,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_club_awedge_eaglez_legendary,club,club_awedge_eaglez_legendary,1500,,100,false,false,Legendary,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_club_driver_eaglez_uncommon,club,club_driver_eaglez_uncommon,200,,400,false,false,Uncommon,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_club_iron_eaglez_common,club,club_iron_eaglez_common,100,,500,false,false,Common,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_club_putter_eaglez_rare,club,club_putter_eaglez_rare,400,,301,false,false,Rare,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_club_pwedge_eaglez_common,club,club_pwedge_eaglez_common,100,,502,false,false,Common,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_club_pwedge_eaglez_mythic,club,club_pwedge_eaglez_mythic,800,,200,false,false,Mythic,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_club_swedge_eaglez_rare,club,club_swedge_eaglez_rare,400,,300,false,false,Rare,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_41_club_wood_eaglez_uncommon,club,club_wood_eaglez_uncommon,200,,401,false,false,Uncommon,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,,,,true,wk_2026_41,
shop_wk_2026_42_ball_fairloft,ball,ball_fairloft,60,,402,false,false,Uncommon,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_ball_fyloe_soft,ball,ball_fyloe_soft,30,,502,false,false,Common,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_ball_golfinix,ball,ball_golfinix,120,,302,false,false,Rare,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_char_camila,character,char_camila,800,,303,false,false,Rare,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_club_awedge_golfin_common,club,club_awedge_golfin_common,100,,500,false,false,Common,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_club_driver_golfin_rare,club,club_driver_golfin_rare,400,,301,false,false,Rare,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_club_iron_golfin_uncommon,club,club_iron_golfin_uncommon,200,,401,false,false,Uncommon,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_club_putter_golfin_rare,club,club_putter_golfin_rare,400,,300,false,false,Rare,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_club_pwedge_golfin_common,club,club_pwedge_golfin_common,100,,501,false,false,Common,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_club_pwedge_golfin_legendary,club,club_pwedge_golfin_legendary,1500,,100,false,false,Legendary,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_club_swedge_golfin_legendary,club,club_swedge_golfin_legendary,1500,,101,false,false,Legendary,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_club_swedge_golfin_mythic,club,club_swedge_golfin_mythic,800,,200,false,false,Mythic,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_42_club_wood_golfin_uncommon,club,club_wood_golfin_uncommon,200,,400,false,false,Uncommon,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,,,,true,wk_2026_42,
shop_wk_2026_43_ball_fyloe_aim,ball,ball_fyloe_aim,60,,402,false,false,Uncommon,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_ball_putt_ace,ball,ball_putt_ace,120,,302,false,false,Rare,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_ball_shimmer_g,ball,ball_shimmer_g,500,,101,false,false,Legendary,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_char_guillermo,character,char_guillermo,1600,,201,false,false,Mythic,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_club_awedge_puttace_uncommon,club,club_awedge_puttace_uncommon,200,,401,false,false,Uncommon,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_club_driver_puttace_rare,club,club_driver_puttace_rare,400,,300,false,false,Rare,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_club_iron_puttace_uncommon,club,club_iron_puttace_uncommon,200,,400,false,false,Uncommon,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_club_putter_puttace_common,club,club_putter_puttace_common,100,,502,false,false,Common,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_club_putter_puttace_mythic,club,club_putter_puttace_mythic,800,,200,false,false,Mythic,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_club_pwedge_puttace_common,club,club_pwedge_puttace_common,100,,500,false,false,Common,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_club_swedge_puttace_common,club,club_swedge_puttace_common,100,,501,false,false,Common,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_club_swedge_puttace_legendary,club,club_swedge_puttace_legendary,1500,,100,false,false,Legendary,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_43_club_wood_puttace_rare,club,club_wood_puttace_rare,400,,301,false,false,Rare,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,,,,true,wk_2026_43,
shop_wk_2026_44_ball_birdie_v1,ball,ball_birdie_v1,30,,502,false,false,Common,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_ball_clover_pro,ball,ball_clover_pro,60,,402,false,false,Uncommon,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_ball_fairway_threads,ball,ball_fairway_threads,120,,302,false,false,Rare,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_char_shae,character,char_shae,3000,,102,false,false,Legendary,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_club_awedge_fairloft_uncommon,club,club_awedge_fairloft_uncommon,200,,400,false,false,Uncommon,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_club_driver_fairloft_legendary,club,club_driver_fairloft_legendary,1500,,101,false,false,Legendary,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_club_driver_fairloft_mythic,club,club_driver_fairloft_mythic,800,,200,false,false,Mythic,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_club_iron_fairloft_rare,club,club_iron_fairloft_rare,400,,301,false,false,Rare,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_club_putter_fairloft_common,club,club_putter_fairloft_common,100,,501,false,false,Common,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_club_putter_fairloft_legendary,club,club_putter_fairloft_legendary,1500,,100,false,false,Legendary,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_club_pwedge_fairloft_uncommon,club,club_pwedge_fairloft_uncommon,200,,401,false,false,Uncommon,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_club_swedge_fairloft_common,club,club_swedge_fairloft_common,100,,500,false,false,Common,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_44_club_wood_fairloft_rare,club,club_wood_fairloft_rare,400,,300,false,false,Rare,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,,,,true,wk_2026_44,
shop_wk_2026_45_ball_klyro,ball,ball_klyro,120,,302,false,false,Rare,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_ball_mireo,ball,ball_mireo,250,,201,false,false,Mythic,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_ball_tifto,ball,ball_tifto,60,,402,false,false,Uncommon,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_char_richard,character,char_richard,1600,,202,false,false,Mythic,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_club_awedge_golfinix_rare,club,club_awedge_golfinix_rare,400,,301,false,false,Rare,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_club_driver_golfinix_common,club,club_driver_golfinix_common,100,,501,false,false,Common,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_club_driver_golfinix_legendary,club,club_driver_golfinix_legendary,1500,,100,false,false,Legendary,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_club_iron_golfinix_rare,club,club_iron_golfinix_rare,400,,300,false,false,Rare,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_club_putter_golfinix_common,club,club_putter_golfinix_common,100,,500,false,false,Common,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_club_pwedge_golfinix_uncommon,club,club_pwedge_golfinix_uncommon,200,,400,false,false,Uncommon,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_club_swedge_golfinix_uncommon,club,club_swedge_golfinix_uncommon,200,,401,false,false,Uncommon,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_club_wood_golfinix_common,club,club_wood_golfinix_common,100,,502,false,false,Common,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
shop_wk_2026_45_club_wood_golfinix_mythic,club,club_wood_golfinix_mythic,800,,200,false,false,Mythic,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,,,,true,wk_2026_45,
