# reference/ipa_before.txt — the SHIPPED .ipa, `unzip -lv Builds/ipa/Golfin.ipa`
# Golfin 1.5.7 build 2632, archived 2026-09-03 20:33. This is ground truth for both gates;
# data_before.txt is the same content re-measured off the local build (agrees within 0.3%).

Payload/ TOTAL         n= 133  raw  1,934,290,037 B =   1844.7 MiB   compressed  584,205,684 B =   557.1 MiB
  .app/Data/           n= 104  raw  1,822,548,095 B =   1738.1 MiB   compressed  548,689,872 B =   523.3 MiB
  .app non-Data        n=  29  raw    111,741,942 B =    106.6 MiB   compressed   35,515,812 B =    33.9 MiB
Symbols/               n=   3  raw    516,315,888 B =    492.4 MiB   compressed  127,030,636 B =   121.1 MiB

INSTALL       = Payload uncompressed = 1844.7 MiB   (gate <= 1024 MiB)
         478          339  Payload/Golfin.app/Data/Managed/Resources/Microsoft.Extensions.Logging.dll-resources.dat
         476          321  Payload/Golfin.app/Data/Managed/Resources/Microsoft.Extensions.Logging.Abstractions.dll-resources.dat
         435          292  Payload/Golfin.app/Data/Managed/Resources/System.Text.Encodings.Web.dll-resources.dat
         360          259  Payload/Golfin.app/Data/Managed/Resources/Microsoft.Extensions.Configuration.Abstractions.dll-resources.dat
         333          169  Payload/Golfin.app/LaunchScreen-iPad.storyboardc/Info.plist
         333          169  Payload/Golfin.app/LaunchScreen-iPhone.storyboardc/Info.plist
         138          123  Payload/Golfin.app/LaunchScreen-iPhonePortrait.png
         138          123  Payload/Golfin.app/LaunchScreen-iPhoneLandscape.png
         138          123  Payload/Golfin.app/LaunchScreen-iPad.png
         134          112  Payload/Golfin.app/Data/boot.config
          96           10  Payload/Golfin.app/Data/sharedassets4.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets19.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets10.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets15.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets16.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets13.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets14.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets11.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets5.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets12.assets.resS
          96           10  Payload/Golfin.app/Data/sharedassets17.assets.resS
          17           12  Payload/Golfin.app/Data/Managed/Resources/Coffee.UIParticle.R.dll-resources.dat
           8            8  Payload/Golfin.app/PkgInfo
           0            0  Payload/
           0            0  Payload/Golfin.app/
           0            0  Payload/Golfin.app/_CodeSignature/
           0            0  Payload/Golfin.app/LaunchScreen-iPad.storyboardc/
           0            0  Payload/Golfin.app/LaunchScreen-iPhone.storyboardc/
           0            0  Payload/Golfin.app/Frameworks/
           0            0  Payload/Golfin.app/Frameworks/UnityFramework.framework/
           0            0  Payload/Golfin.app/Frameworks/UnityFramework.framework/_CodeSignature/
           0            0  Payload/Golfin.app/Data/
           0            0  Payload/Golfin.app/Data/Managed/
           0            0  Payload/Golfin.app/Data/Managed/Resources/
           0            0  Payload/Golfin.app/Data/Managed/mono/
           0            0  Payload/Golfin.app/Data/Managed/mono/4.0/
           0            0  Payload/Golfin.app/Data/Managed/Metadata/
           0            0  Payload/Golfin.app/Data/Resources/
           0            0  Symbols/
