# reference/pack_texture_budget.txt — build_size_diet Phase 1
# Written by Tools > Golfin > Build Size > Apply Pack Texture Budget
# (PackTextureBudget.cs). Assets/Packs is gitignored, so THIS file and that
# script are the tracked record of what the iPhone overrides are.

   was    now      est. built MiB before -> after  path
  2048   2048          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Railing_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Railing_m.png
  1024   1024          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Railing_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Streetlights_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Streetlights_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Streetlights_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Streetlights_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Top_L_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Top_L_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Top_L_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Top_L_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Top_R_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Top_R_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Top_R_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Top_R_n.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge/Lightmap-0_comp_dir.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge/Lightmap-0_comp_light.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge/Lightmap-1_comp_dir.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge/Lightmap-1_comp_light.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge/ReflectionProbe-0.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_Modular/Lightmap-0_comp_dir.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_Modular/Lightmap-0_comp_light.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_Modular/Lightmap-1_comp_dir.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_Modular/Lightmap-1_comp_light.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_Modular/Lightmap-2_comp_dir.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_Modular/Lightmap-2_comp_light.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_Modular/ReflectionProbe-0.exr
  1024   1024          0.33 ->     0.33          Assets/Packs/PBR Bridge/Scenes/Bridge_Modular/ReflectionProbe-1.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_withLODs/Lightmap-0_comp_dir.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_withLODs/Lightmap-0_comp_light.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_withLODs/Lightmap-1_comp_dir.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_withLODs/Lightmap-1_comp_light.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_withLODs/Lightmap-2_comp_dir.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_withLODs/Lightmap-2_comp_light.exr
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/Scenes/Bridge_withLODs/ReflectionProbe-0.exr
  1024   1024          0.33 ->     0.33          Assets/Packs/PBR Bridge/Scenes/Bridge_withLODs/ReflectionProbe-1.exr

74 texture(s) under budget rules; 0 reimported.
Estimated built total: 52.2 MiB -> 52.2 MiB  (0.0 MiB saved)
(Estimate is ASTC 6x6 + full mip chain; the authoritative number is the
 Build Report / data_*.txt pair, not this line.)
