# Clubs roster — 7 shipped rows preserved verbatim below; 792 generated rows appended
# by Tools/club-gen/generate_clubs.py (C2, 2026-08-19). Column info_ja appended (JA
# description; display wiring is a Claude Code task). Art refs use club_art_batches naming.
id,name,type,rarity,brand,basePower,baseAccuracy,baseLieResistance,baseLoft,maxDurability,baseDistance,ballSpeedMps,launchAngleDeg,spinRateRpm,expectedCarryYd,portraitSprite,portraitFull,controlSprite,startLevel,maxLevel,info,info_ja
club_driver_gf_legendary,Driver G&F,Driver,Legendary,G&F,98,44,13,15,100,271,79.8,10.9,2740,298,S_Menu_Driver_GF,Driver-G&F,S_Controls_Driver_GF,160,199,A dependable masterwork driver from G&F — balanced feel you can trust on any lie.,G&Fの傑作級のドライバー。どんなライでも信頼できるバランス型。
club_driver_gf_supreme,Driver G&F,Driver,Supreme,G&F,110,49,14,17,120,282,82.3,10.9,2793,310,S_Menu_Driver_GF,Driver-G&F,S_Controls_Driver_GF,200,239,A dependable flagship driver from G&F — balanced feel you can trust on any lie.,G&Fの最高峰のドライバー。どんなライでも信頼できるバランス型。
club_wood_gf_uncommon,Wood G&F,Wood,Uncommon,G&F,52,30,9,11,70,211,68.3,9.2,3509,232,S_Menu_Wood_GF,Wood-G&F,S_Controls_Wood_GF,40,79,A dependable step-up fairway wood from G&F — balanced feel you can trust on any lie.,G&Fの上位モデルのウッド。どんなライでも信頼できるバランス型。
club_wood_gf_rare,Wood G&F,Wood,Rare,G&F,64,37,11,14,80,221,70.6,9.2,3582,243,S_Menu_Wood_GF,Wood-G&F,S_Controls_Wood_GF,80,119,A dependable refined fairway wood from G&F — balanced feel you can trust on any lie.,G&Fの洗練されたウッド。どんなライでも信頼できるバランス型。
club_wood_gf_mythic,Wood G&F,Wood,Mythic,G&F,75,43,13,16,90,230,72.7,9.2,3655,253,S_Menu_Wood_GF,Wood-G&F,S_Controls_Wood_GF,120,159,A dependable elite fairway wood from G&F — balanced feel you can trust on any lie.,G&Fのエリート級のウッド。どんなライでも信頼できるバランス型。
club_wood_gf_legendary,Wood G&F,Wood,Legendary,G&F,86,49,15,18,100,239,74.8,9.2,3728,263,S_Menu_Wood_GF,Wood-G&F,S_Controls_Wood_GF,160,199,A dependable masterwork fairway wood from G&F — balanced feel you can trust on any lie.,G&Fの傑作級のウッド。どんなライでも信頼できるバランス型。
club_wood_gf_supreme,Wood G&F,Wood,Supreme,G&F,98,56,17,21,120,248,76.9,9.2,3801,273,S_Menu_Wood_GF,Wood-G&F,S_Controls_Wood_GF,200,239,A dependable flagship fairway wood from G&F — balanced feel you can trust on any lie.,G&Fの最高峰のウッド。どんなライでも信頼できるバランス型。
club_iron_gf_common,Iron 5 G&F,Iron,Common,G&F,36,30,12,15,60,141,49.0,16.3,6671,155,S_Menu_Iron_GF,Iron-G&F,S_Controls_Iron_GF,10,39,A dependable entry-level 5-iron from G&F — balanced feel you can trust on any lie.,G&Fの入門用アイアン。どんなライでも信頼できるバランス型。
club_iron_gf_uncommon,Iron 5 G&F,Iron,Uncommon,G&F,46,38,15,19,70,148,50.6,16.3,6813,163,S_Menu_Iron_GF,Iron-G&F,S_Controls_Iron_GF,40,79,A dependable step-up 5-iron from G&F — balanced feel you can trust on any lie.,G&Fの上位モデルのアイアン。どんなライでも信頼できるバランス型。
club_iron_gf_rare,Iron 5 G&F,Iron,Rare,G&F,55,47,19,23,80,157,52.5,16.3,6955,172,S_Menu_Iron_GF,Iron-G&F,S_Controls_Iron_GF,80,119,A dependable refined 5-iron from G&F — balanced feel you can trust on any lie.,G&Fの洗練されたアイアン。どんなライでも信頼できるバランス型。
club_iron_gf_mythic,Iron 5 G&F,Iron,Mythic,G&F,65,55,22,27,90,164,54.2,16.3,7097,180,S_Menu_Iron_GF,Iron-G&F,S_Controls_Iron_GF,120,159,A dependable elite 5-iron from G&F — balanced feel you can trust on any lie.,G&Fのエリート級のアイアン。どんなライでも信頼できるバランス型。
club_iron_gf_legendary,Iron 5 G&F,Iron,Legendary,G&F,75,63,25,31,100,171,55.8,16.3,7239,188,S_Menu_Iron_GF,Iron-G&F,S_Controls_Iron_GF,160,199,A dependable masterwork 5-iron from G&F — balanced feel you can trust on any lie.,G&Fの傑作級のアイアン。どんなライでも信頼できるバランス型。
club_iron_gf_supreme,Iron 5 G&F,Iron,Supreme,G&F,84,72,29,35,120,178,57.5,16.3,7381,196,S_Menu_Iron_GF,Iron-G&F,S_Controls_Iron_GF,200,239,A dependable flagship 5-iron from G&F — balanced feel you can trust on any lie.,G&Fの最高峰のアイアン。どんなライでも信頼できるバランス型。
club_pwedge_gf_common,P.Wedge G&F,P.Wedge,Common,G&F,25,33,26,26,60,115,43.9,22.0,8272,126,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,10,39,A dependable entry-level pitching wedge from G&F — balanced feel you can trust on any lie.,G&Fの入門用ピッチングウェッジ。どんなライでも信頼できるバランス型。
club_pwedge_gf_uncommon,P.Wedge G&F,P.Wedge,Uncommon,G&F,31,42,34,34,70,121,45.4,22.0,8448,133,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,40,79,A dependable step-up pitching wedge from G&F — balanced feel you can trust on any lie.,G&Fの上位モデルのピッチングウェッジ。どんなライでも信頼できるバランス型。
club_pwedge_gf_rare,P.Wedge G&F,P.Wedge,Rare,G&F,38,51,41,41,80,127,46.8,22.0,8624,140,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,80,119,A dependable refined pitching wedge from G&F — balanced feel you can trust on any lie.,G&Fの洗練されたピッチングウェッジ。どんなライでも信頼できるバランス型。
club_pwedge_gf_mythic,P.Wedge G&F,P.Wedge,Mythic,G&F,45,60,48,48,90,133,48.1,22.0,8800,146,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,120,159,A dependable elite pitching wedge from G&F — balanced feel you can trust on any lie.,G&Fのエリート級のピッチングウェッジ。どんなライでも信頼できるバランス型。
club_pwedge_gf_legendary,P.Wedge G&F,P.Wedge,Legendary,G&F,52,69,55,55,100,138,49.3,22.0,8976,152,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,160,199,A dependable masterwork pitching wedge from G&F — balanced feel you can trust on any lie.,G&Fの傑作級のピッチングウェッジ。どんなライでも信頼できるバランス型。
club_pwedge_gf_supreme,P.Wedge G&F,P.Wedge,Supreme,G&F,58,78,62,62,120,144,50.6,22.0,9152,158,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,200,239,A dependable flagship pitching wedge from G&F — balanced feel you can trust on any lie.,G&Fの最高峰のピッチングウェッジ。どんなライでも信頼できるバランス型。
club_awedge_gf_common,A.Wedge G&F,A.Wedge,Common,G&F,18,30,33,32,60,102,41.0,24.0,8742,112,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,10,39,A dependable entry-level approach wedge from G&F — balanced feel you can trust on any lie.,G&Fの入門用アプローチウェッジ。どんなライでも信頼できるバランス型。
club_awedge_gf_uncommon,A.Wedge G&F,A.Wedge,Uncommon,G&F,23,38,42,41,70,107,42.2,24.0,8928,118,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,40,79,A dependable step-up approach wedge from G&F — balanced feel you can trust on any lie.,G&Fの上位モデルのアプローチウェッジ。どんなライでも信頼できるバランス型。
club_awedge_gf_rare,A.Wedge G&F,A.Wedge,Rare,G&F,28,47,51,49,80,113,43.5,24.0,9114,124,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,80,119,A dependable refined approach wedge from G&F — balanced feel you can trust on any lie.,G&Fの洗練されたアプローチウェッジ。どんなライでも信頼できるバランス型。
club_awedge_gf_mythic,A.Wedge G&F,A.Wedge,Mythic,G&F,33,55,60,58,90,118,44.7,24.0,9300,130,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,120,159,A dependable elite approach wedge from G&F — balanced feel you can trust on any lie.,G&Fのエリート級のアプローチウェッジ。どんなライでも信頼できるバランス型。
club_awedge_gf_legendary,A.Wedge G&F,A.Wedge,Legendary,G&F,38,63,69,67,100,124,46.0,24.0,9486,136,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,160,199,A dependable masterwork approach wedge from G&F — balanced feel you can trust on any lie.,G&Fの傑作級のアプローチウェッジ。どんなライでも信頼できるバランス型。
club_awedge_gf_supreme,A.Wedge G&F,A.Wedge,Supreme,G&F,43,72,78,75,120,129,47.3,24.0,9672,142,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,200,239,A dependable flagship approach wedge from G&F — balanced feel you can trust on any lie.,G&Fの最高峰のアプローチウェッジ。どんなライでも信頼できるバランス型。
club_swedge_gf_common,S.Wedge G&F,S.Wedge,Common,G&F,15,26,38,36,60,89,38.1,26.5,9212,98,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,10,39,A dependable entry-level sand wedge from G&F — balanced feel you can trust on any lie.,G&Fの入門用サンドウェッジ。どんなライでも信頼できるバランス型。
club_swedge_gf_uncommon,S.Wedge G&F,S.Wedge,Uncommon,G&F,19,34,49,46,70,95,39.3,26.5,9408,104,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,40,79,A dependable step-up sand wedge from G&F — balanced feel you can trust on any lie.,G&Fの上位モデルのサンドウェッジ。どんなライでも信頼できるバランス型。
club_swedge_gf_rare,S.Wedge G&F,S.Wedge,Rare,G&F,23,41,60,56,80,100,40.6,26.5,9604,110,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,80,119,A dependable refined sand wedge from G&F — balanced feel you can trust on any lie.,G&Fの洗練されたサンドウェッジ。どんなライでも信頼できるバランス型。
club_swedge_gf_mythic,S.Wedge G&F,S.Wedge,Mythic,G&F,27,48,70,66,90,106,41.8,26.5,9800,116,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,120,159,A dependable elite sand wedge from G&F — balanced feel you can trust on any lie.,G&Fのエリート級のサンドウェッジ。どんなライでも信頼できるバランス型。
club_swedge_gf_legendary,S.Wedge G&F,S.Wedge,Legendary,G&F,31,55,80,76,100,111,43.1,26.5,9996,122,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,160,199,A dependable masterwork sand wedge from G&F — balanced feel you can trust on any lie.,G&Fの傑作級のサンドウェッジ。どんなライでも信頼できるバランス型。
club_swedge_gf_supreme,S.Wedge G&F,S.Wedge,Supreme,G&F,35,62,91,86,120,116,44.3,26.5,10192,128,S_Menu_Wedge_GF,Wedge-G&F,S_Controls_Wedge_GF,200,239,A dependable flagship sand wedge from G&F — balanced feel you can trust on any lie.,G&Fの最高峰のサンドウェッジ。どんなライでも信頼できるバランス型。
club_putter_gf_common,Putter G&F,Putter,Common,G&F,18,44,18,3,60,30,5.0,5.0,0,30,S_Menu_Putter_GF,Putter-G&F,S_Controls_Putter_GF,10,39,A dependable entry-level putter from G&F — balanced feel you can trust on any lie.,G&Fの入門用パター。どんなライでも信頼できるバランス型。
club_putter_gf_uncommon,Putter G&F,Putter,Uncommon,G&F,22,56,22,4,70,30,5.0,5.0,0,30,S_Menu_Putter_GF,Putter-G&F,S_Controls_Putter_GF,40,79,A dependable step-up putter from G&F — balanced feel you can trust on any lie.,G&Fの上位モデルのパター。どんなライでも信頼できるバランス型。
club_putter_gf_rare,Putter G&F,Putter,Rare,G&F,27,68,27,4,80,30,5.0,5.0,0,30,S_Menu_Putter_GF,Putter-G&F,S_Controls_Putter_GF,80,119,A dependable refined putter from G&F — balanced feel you can trust on any lie.,G&Fの洗練されたパター。どんなライでも信頼できるバランス型。
club_putter_gf_mythic,Putter G&F,Putter,Mythic,G&F,32,80,32,5,90,30,5.0,5.0,0,30,S_Menu_Putter_GF,Putter-G&F,S_Controls_Putter_GF,120,159,A dependable elite putter from G&F — balanced feel you can trust on any lie.,G&Fのエリート級のパター。どんなライでも信頼できるバランス型。
club_putter_gf_legendary,Putter G&F,Putter,Legendary,G&F,37,92,37,6,100,30,5.0,5.0,0,30,S_Menu_Putter_GF,Putter-G&F,S_Controls_Putter_GF,160,199,A dependable masterwork putter from G&F — balanced feel you can trust on any lie.,G&Fの傑作級のパター。どんなライでも信頼できるバランス型。
club_putter_gf_supreme,Putter G&F,Putter,Supreme,G&F,42,104,42,6,120,30,5.0,5.0,0,30,S_Menu_Putter_GF,Putter-G&F,S_Controls_Putter_GF,200,239,A dependable flagship putter from G&F — balanced feel you can trust on any lie.,G&Fの最高峰のパター。どんなライでも信頼できるバランス型。
club_driver_golfin_common,Driver GOLFIN,Driver,Common,GOLFIN,49,22,6,7,60,228,69.8,10.9,2525,250,S_Menu_Driver_GOLFIN,Driver-Golfin,S_Controls_Driver_GOLFIN,10,39,"The house entry-level driver by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の入門用ドライバー。自信と完成度を兼ね備えたツアー仕様。
club_driver_golfin_uncommon,Driver GOLFIN,Driver,Uncommon,GOLFIN,62,28,8,9,70,238,72.3,10.9,2579,262,S_Menu_Driver_GOLFIN,Driver-Golfin,S_Controls_Driver_GOLFIN,40,79,"The house step-up driver by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の上位モデルのドライバー。自信と完成度を兼ね備えたツアー仕様。
club_driver_golfin_rare,Driver GOLFIN,Driver,Rare,GOLFIN,76,34,9,11,80,250,75.0,10.9,2632,275,S_Menu_Driver_GOLFIN,Driver-Golfin,S_Controls_Driver_GOLFIN,80,119,"The house refined driver by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の洗練されたドライバー。自信と完成度を兼ね備えたツアー仕様。
club_driver_golfin_mythic,Driver GOLFIN,Driver,Mythic,GOLFIN,89,40,11,13,90,261,77.5,10.9,2686,287,S_Menu_Driver_GOLFIN,Driver-Golfin,S_Controls_Driver_GOLFIN,120,159,"The house elite driver by GOLFIN — confident, complete, tour-ready.",GOLFIN純正のエリート級のドライバー。自信と完成度を兼ね備えたツアー仕様。
club_driver_golfin_legendary,Driver GOLFIN,Driver,Legendary,GOLFIN,103,46,13,15,100,271,79.8,10.9,2740,298,S_Menu_Driver_GOLFIN,Driver-Golfin,S_Controls_Driver_GOLFIN,160,199,"The house masterwork driver by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の傑作級のドライバー。自信と完成度を兼ね備えたツアー仕様。
club_driver_golfin_supreme,Driver GOLFIN,Driver,Supreme,GOLFIN,116,52,14,17,120,282,82.3,10.9,2793,310,S_Menu_Driver_GOLFIN,Driver-Golfin,S_Controls_Driver_GOLFIN,200,239,"The house flagship driver by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の最高峰のドライバー。自信と完成度を兼ね備えたツアー仕様。
club_wood_golfin_common,Wood GOLFIN,Wood,Common,GOLFIN,43,25,7,9,60,202,66.2,9.2,3436,222,S_Menu_Wood_GOLFIN,Wood-Golfin,S_Controls_Wood_GOLFIN,10,39,"The house entry-level fairway wood by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の入門用ウッド。自信と完成度を兼ね備えたツアー仕様。
club_wood_golfin_uncommon,Wood GOLFIN,Wood,Uncommon,GOLFIN,55,32,9,11,70,211,68.3,9.2,3509,232,S_Menu_Wood_GOLFIN,Wood-Golfin,S_Controls_Wood_GOLFIN,40,79,"The house step-up fairway wood by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の上位モデルのウッド。自信と完成度を兼ね備えたツアー仕様。
club_wood_golfin_rare,Wood GOLFIN,Wood,Rare,GOLFIN,67,38,11,14,80,221,70.6,9.2,3582,243,S_Menu_Wood_GOLFIN,Wood-Golfin,S_Controls_Wood_GOLFIN,80,119,"The house refined fairway wood by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の洗練されたウッド。自信と完成度を兼ね備えたツアー仕様。
club_wood_golfin_mythic,Wood GOLFIN,Wood,Mythic,GOLFIN,79,45,13,16,90,230,72.7,9.2,3655,253,S_Menu_Wood_GOLFIN,Wood-Golfin,S_Controls_Wood_GOLFIN,120,159,"The house elite fairway wood by GOLFIN — confident, complete, tour-ready.",GOLFIN純正のエリート級のウッド。自信と完成度を兼ね備えたツアー仕様。
club_wood_golfin_legendary,Wood GOLFIN,Wood,Legendary,GOLFIN,91,52,15,18,100,239,74.8,9.2,3728,263,S_Menu_Wood_GOLFIN,Wood-Golfin,S_Controls_Wood_GOLFIN,160,199,"The house masterwork fairway wood by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の傑作級のウッド。自信と完成度を兼ね備えたツアー仕様。
club_wood_golfin_supreme,Wood GOLFIN,Wood,Supreme,GOLFIN,102,59,17,21,120,248,76.9,9.2,3801,273,S_Menu_Wood_GOLFIN,Wood-Golfin,S_Controls_Wood_GOLFIN,200,239,"The house flagship fairway wood by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の最高峰のウッド。自信と完成度を兼ね備えたツアー仕様。
club_iron_golfin_common,Iron 4 GOLFIN,Iron,Common,GOLFIN,38,32,12,15,60,141,49.0,16.3,6671,155,S_Menu_Iron_GOLFIN,Iron-Golfin,S_Controls_Iron_GOLFIN,10,39,"The house entry-level 4-iron by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の入門用アイアン。自信と完成度を兼ね備えたツアー仕様。
club_iron_golfin_uncommon,Iron 4 GOLFIN,Iron,Uncommon,GOLFIN,48,40,15,19,70,148,50.6,16.3,6813,163,S_Menu_Iron_GOLFIN,Iron-Golfin,S_Controls_Iron_GOLFIN,40,79,"The house step-up 4-iron by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の上位モデルのアイアン。自信と完成度を兼ね備えたツアー仕様。
club_iron_golfin_rare,Iron 4 GOLFIN,Iron,Rare,GOLFIN,58,49,19,23,80,157,52.5,16.3,6955,172,S_Menu_Iron_GOLFIN,Iron-Golfin,S_Controls_Iron_GOLFIN,80,119,"The house refined 4-iron by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の洗練されたアイアン。自信と完成度を兼ね備えたツアー仕様。
club_iron_golfin_mythic,Iron 4 GOLFIN,Iron,Mythic,GOLFIN,68,58,22,27,90,164,54.2,16.3,7097,180,S_Menu_Iron_GOLFIN,Iron-Golfin,S_Controls_Iron_GOLFIN,120,159,"The house elite 4-iron by GOLFIN — confident, complete, tour-ready.",GOLFIN純正のエリート級のアイアン。自信と完成度を兼ね備えたツアー仕様。
club_iron_golfin_legendary,Iron 4 GOLFIN,Iron,Legendary,GOLFIN,78,66,25,31,100,171,55.8,16.3,7239,188,S_Menu_Iron_GOLFIN,Iron-Golfin,S_Controls_Iron_GOLFIN,160,199,"The house masterwork 4-iron by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の傑作級のアイアン。自信と完成度を兼ね備えたツアー仕様。
club_iron_golfin_supreme,Iron 4 GOLFIN,Iron,Supreme,GOLFIN,89,75,29,35,120,178,57.5,16.3,7381,196,S_Menu_Iron_GOLFIN,Iron-Golfin,S_Controls_Iron_GOLFIN,200,239,"The house flagship 4-iron by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の最高峰のアイアン。自信と完成度を兼ね備えたツアー仕様。
club_pwedge_golfin_common,P.Wedge GOLFIN,P.Wedge,Common,GOLFIN,26,35,26,26,60,115,43.9,22.0,8272,126,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,10,39,"The house entry-level pitching wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の入門用ピッチングウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_pwedge_golfin_uncommon,P.Wedge GOLFIN,P.Wedge,Uncommon,GOLFIN,33,44,34,34,70,121,45.4,22.0,8448,133,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,40,79,"The house step-up pitching wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の上位モデルのピッチングウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_pwedge_golfin_rare,P.Wedge GOLFIN,P.Wedge,Rare,GOLFIN,40,54,41,41,80,127,46.8,22.0,8624,140,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,80,119,"The house refined pitching wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の洗練されたピッチングウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_pwedge_golfin_mythic,P.Wedge GOLFIN,P.Wedge,Mythic,GOLFIN,47,63,48,48,90,133,48.1,22.0,8800,146,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,120,159,"The house elite pitching wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正のエリート級のピッチングウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_pwedge_golfin_legendary,P.Wedge GOLFIN,P.Wedge,Legendary,GOLFIN,54,72,55,55,100,138,49.3,22.0,8976,152,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,160,199,"The house masterwork pitching wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の傑作級のピッチングウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_pwedge_golfin_supreme,P.Wedge GOLFIN,P.Wedge,Supreme,GOLFIN,61,82,62,62,120,144,50.6,22.0,9152,158,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,200,239,"The house flagship pitching wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の最高峰のピッチングウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_awedge_golfin_common,A.Wedge GOLFIN,A.Wedge,Common,GOLFIN,19,32,33,32,60,102,41.0,24.0,8742,112,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,10,39,"The house entry-level approach wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の入門用アプローチウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_awedge_golfin_uncommon,A.Wedge GOLFIN,A.Wedge,Uncommon,GOLFIN,24,40,42,41,70,107,42.2,24.0,8928,118,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,40,79,"The house step-up approach wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の上位モデルのアプローチウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_awedge_golfin_rare,A.Wedge GOLFIN,A.Wedge,Rare,GOLFIN,29,49,51,49,80,113,43.5,24.0,9114,124,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,80,119,"The house refined approach wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の洗練されたアプローチウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_awedge_golfin_mythic,A.Wedge GOLFIN,A.Wedge,Mythic,GOLFIN,35,58,60,58,90,118,44.7,24.0,9300,130,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,120,159,"The house elite approach wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正のエリート級のアプローチウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_awedge_golfin_legendary,A.Wedge GOLFIN,A.Wedge,Legendary,GOLFIN,40,66,69,67,100,124,46.0,24.0,9486,136,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,160,199,"The house masterwork approach wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の傑作級のアプローチウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_awedge_golfin_supreme,A.Wedge GOLFIN,A.Wedge,Supreme,GOLFIN,45,75,78,75,120,129,47.3,24.0,9672,142,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,200,239,"The house flagship approach wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の最高峰のアプローチウェッジ。自信と完成度を兼ね備えたツアー仕様。
club_swedge_golfin_common,S.Wedge GOLFIN,S.Wedge,Common,GOLFIN,16,28,38,36,60,89,38.1,26.5,9212,98,S_Menu_Wedge_GOLFIN,Wedge-Golfin,S_Controls_Wedge_GOLFIN,10,39,"The house entry-level sand wedge by GOLFIN — confident, complete, tour-ready.",GOLFIN純正の入門用サンドウェッジ。自信と完成度を兼ね備えたツアー仕様。
